info,url,more,time
Памёр загадчык аддзела тэлеаператараў АНТ Леанід Чумакоў,/be/news/20170110/1484040063-pamyor-zagadchyk-addzela-teleaperatarau-ant-leanid-chumakou,"Светлая памяць аб Чумакове Л. С., прафесіянале і жыццелюбным чалавеку, назаўсёды захаваецца ў сэрцах тых, хто яго ведаў.",10.01.2017
"Пункт пропуску ""Лоша-Шумскас"" атрымаў міжнародны статус",/be/news/20170110/1484036514-punkt-propusku-losha-shumskas-atrymau-mizhnarodny-status,Адпаведнае беларуска-літоўскае міжурадавае пагадненне афіцыйна апублікавана сёння на Нацыянальным прававым інтэрнэт-партале.,10.01.2017
"Польшчу накрыў атрутны смог, аб'яўлена трывога",/be/news/20170110/1484035962-polshchu-nakryu-atrutny-smog-abyaulena-tryvoga,"Шэраг гарадоў Польшчы накрыў атрутны смог, з-за моцнага перавышэння нормы забруджвання паветра ў краіне была абвешчана трывога.",10.01.2017
Крышціяну Раналду прызнаны найлепшым футбалістам свету 2016 года,/be/news/20170110/1484030132-kryshciyanu-ranaldu-pryznany-naylepshym-futbalistam-svetu-2016-goda,"Міжнародная федэрацыя футбола (ФІФА) назвала лаўрэатаў 2016 года на ўрачыстай цырымоніі The Best, якая адбылася ў швейцарскім Цюрыху.",10.01.2017
Пацярпелы ў ДТЗ трактарыст памёр у шпіталі,/be/news/20170110/1484033120-pacyarpely-u-dtz-traktaryst-pamyor-u-shpitali,Такая інфармацыя размешчана на сайце МУС.,10.01.2017
З інтэрната ў Маладзечне эвакуіравалі 60 чалавек,/be/news/20170110/1484032921-z-internata-u-maladzechne-evakuiravali-60-chalavek,Такая інфармацыя размешчана на сайце Міністэрства па надзвычайных сітуацыях.,10.01.2017
Праводзіцца ваенная гульня па кіраванні войскамі ў абарончай аперацыі,/be/news/20170110/1484037269-pravodzicca-vaennaya-gulnya-pa-kiravanni-voyskami-u-abaronchay-aperacyi,Пра гэта паведамілі ў Мінабароны.,10.01.2017
Вярхоўны суд Венесуэлы адрэагаваў на спробу адхілення Мадура,/be/news/20170110/1484029397-vyarhouny-sud-venesuely-adreagavau-na-sprobu-adhilennya-madura,"Раней кантраляваны апазіцыяй парламент абвясціў, што Мадура пакінуў свой пост.",10.01.2017
Аўтобус з дзецьмі з Беларусі трапіў у ДТЗ у Пскоўскай вобласці,/be/news/20170110/1484029698-autobus-z-dzecmi-z-belarusi-trapiu-u-dtz-u-pskouskay-voblasci,Група юных спартсменаў вярталася дадому з Санкт-Пецярбурга.,10.01.2017
Прагноз надвор'я на 10 студзеня,/be/news/20170109/1483953314-da-24-gradusau-marozu-chakaecca-u-belarusi-10-studzenya,"Будзе воблачна з праясненнямі, пераважна без ападкаў, толькі па паўднёвым усходзе Беларусі пройдзе невялікі снег.",10.01.2017
Кітай выпрабаваў першы самалёт на вадародным паліве,/be/news/20170109/1483974080-kitay-vyprabavau-pershy-samalyot-na-vadarodnym-palive,"Кітайскія спецыялісты правялі першы выпрабавальны палёт самалёта на экалагічна чыстых вадародных паліўных элементах, паведамляюць кітайскія СМІ.",09.01.2017
Дзіцячая чыгунка за святы перавезла амаль 7 тыс. пасажыраў,/be/news/20170109/1483956630-dzicyachaya-chygunka-za-svyaty-peravezla-amal-7-tys-pasazhyrau,Дзіцячая чыгунка за калядныя і навагоднія святы перавезла амаль 7 тыс. пасажыраў.,09.01.2017
Форум рэгіёнаў Беларусі і Расіі пройдзе ў Маскве,/be/news/20170109/1483995384-forum-regiyonau-belarusi-i-rasii-proydze-u-maskve,Такое меркаванне сёння ў Мінску на пасяджэнні арганізацыйнага камітэта па падрыхтоўцы і правядзенні мерапрыемства выказаў старшыня Савета Рэспублікі Міхаіл Мясніковіч.,09.01.2017
Хілары Клінтан адмовілася ад барацьбы за пасаду мэра Нью-Ёрка,/be/news/20170109/1483973656-hilary-klintan-admovilasya-ad-baracby-za-pasadu-mera-nyu-yorka,Пра гэта выданню паведаміла блізкая сяброўка Клінтан.,09.01.2017
"Відэа ""бойкі"" з дываном сабрала больш за мільён праглядаў",/be/news/20170109/1483949558-videa-boyki-z-dyvanom-sabrala-amal-milyon-praglyadau,"Відэаролік з мінчанінам, які выбівае дыван, за тры дні на сэрвісе YouTube сабраў больш за мільён праглядаў.",09.01.2017
